Date,Temperature (¡æ),Humidity (%),Rainfall (mm),Wind Speed (km/h),Soil Type,Soil Moisture (%)
2014/8/13,30.43,62.94,10.19,3.32,Sandy,25.72
2014/8/14,23.42,87.29,14.52,15.58,Clay,41.67
2014/8/15,30.72,32.76,14.76,10,Sandy,44.96
2014/8/16,18.34,30.13,15.94,6.58,Loam,44.2
2014/8/17,23.56,30.04,16.87,8.87,Clay,44.74
2014/8/18,22.66,58.88,16.74,3.18,Clay,29.14
2014/8/19,30.19,70.4,7.33,17.99,Loam,26.84
2014/8/20,23.41,63.85,2.41,12.18,Loam,44.89
2014/8/21,27.56,36.98,16.49,14.43,Clay,30.01
2014/8/22,20.48,71.6,3.76,16.75,Sandy,33
2014/8/23,33.52,43.37,2.24,7.71,Sandy,29.52
2014/8/24,34.09,59.49,1.87,19.26,Sandy,28.6
2014/8/25,33.06,77.85,5.13,15.56,Clay,33.65
2014/8/26,29.53,49.08,12.76,11.33,Sandy,35.83
2014/8/27,29.47,51.86,16.63,3.8,Clay,32.28
2014/8/28,24.5,30.63,1.81,4.05,Sandy,34.13
2014/8/29,21.48,85.43,14.3,11.68,Clay,44.08
2014/8/30,32.25,48.85,1.22,14.94,Clay,33.18
2014/8/31,34.1,73.55,12.06,3.29,Clay,35.59
2014/9/1,21.72,71.51,12.91,3.04,Clay,30.21
2014/9/2,24.11,55.25,12.25,17.87,Sandy,25.64
2014/9/3,15.49,52.71,11.64,3.56,Sandy,25.41
2014/9/4,28.42,43.67,11.2,5.51,Sandy,38.39
2014/9/5,34.87,70.52,9.92,10.51,Clay,43.8
2014/9/6,21.63,70.93,7.42,9.07,Clay,36.65
2014/9/7,29.16,35.71,15.26,5.78,Loam,42.86
2014/9/8,15.63,82.05,3.14,12.9,Loam,37.68
2014/9/9,21.94,77.87,5.03,17.76,Sandy,28.54
2014/9/10,21.08,45.97,1.89,17.61,Clay,37.86
2014/9/11,18.72,31.75,5.28,6.74,Loam,26.15
2014/9/12,18.33,52.74,11.33,19.26,Clay,38.25
2014/9/13,20.4,87.94,15.21,7.89,Clay,37.36
2014/9/14,20.91,82.09,19.87,18.57,Sandy,31.08
2014/9/15,32.27,34.81,13.35,18.17,Sandy,44.89
2014/9/16,21.02,63.68,11.72,8.53,Clay,43.88
2014/9/17,22.69,60.25,17.33,11.82,Sandy,26.39
2014/9/18,16.49,34.35,18.8,8.54,Clay,34.36
2014/9/19,28.82,68.06,13.97,16.31,Clay,35.07
2014/9/20,26.91,52.57,9.2,7.38,Clay,36.86
2014/9/21,26.07,46.22,5.19,17.81,Sandy,33.13
2014/9/22,27.26,31.47,11.37,15.72,Sandy,25.53
2014/9/23,26.72,84.46,13.45,9.7,Sandy,29.82
2014/9/24,19.92,85.96,11.4,12.29,Clay,25.56
2014/9/25,20.89,52.7,9.75,16.68,Sandy,37.5
2014/9/26,32.12,30.32,8.9,13.88,Clay,44.78
2014/9/27,18.7,36.58,3.08,13.78,Clay,42.98
2014/9/28,17.97,88.43,2.44,15.57,Clay,40.77
2014/9/29,19.74,65.69,2.45,11.02,Loam,33.66
2014/9/30,29.52,77.57,15.25,7.85,Loam,32.13
2014/10/1,30.89,75.58,15.37,4.16,Clay,25
2014/10/2,30.92,32.36,12.83,7.18,Sandy,44.57
2014/10/3,27.1,54.11,7.63,15.43,Sandy,37.09
2014/10/4,18.75,53.95,18.21,12.71,Clay,37.45
2014/10/5,31.34,50.6,12.32,7.7,Sandy,31.78
2014/10/6,32.34,39.35,1.78,15.56,Clay,36.84
2014/10/7,18.1,59.06,18.71,12.55,Sandy,38.31
2014/10/8,30.24,38.2,6.15,19.48,Clay,26.39
2014/10/9,19,77.7,1.03,14.65,Sandy,25.24
2014/10/10,30.08,88.6,9.42,6.46,Clay,32.62
2014/10/11,31.25,31.27,2.15,10.03,Loam,30.54
2014/10/12,25.12,66.71,16.34,16.89,Clay,34.75
2014/10/13,25.15,47.49,16.66,8.3,Loam,25.45
2014/10/14,23.07,40.09,14.82,11.33,Sandy,29.02
2014/10/15,31.29,51.8,4.3,14.58,Sandy,41.88
2014/10/16,24.25,68.66,9.01,5.42,Clay,30.92
2014/10/17,33.7,74.33,16.43,19.1,Sandy,37.52
2014/10/18,33.6,48.46,7.35,15.21,Clay,37.07
2014/10/19,26.6,81.28,19.92,17.99,Clay,39.73
2014/10/20,20.76,43.68,7.71,19.64,Sandy,36.54
2014/10/21,30.09,49.73,16.12,11.48,Clay,32.92
2014/10/22,28.42,70.68,13.14,8.74,Sandy,37.79
2014/10/23,18.58,39.08,15.88,8.44,Sandy,36.35
2014/10/24,24.02,80.77,0.13,4.67,Clay,40.2
2014/10/25,25.44,86.88,1.44,19.77,Loam,42.54
2014/10/26,31.19,72.81,9.82,12.39,Loam,31.41
2014/10/27,23.75,82.08,19.19,8.51,Clay,32.88
2014/10/28,18.11,81.14,13.13,5.04,Sandy,38.78
2014/10/29,30.96,68.32,7.12,4.12,Clay,29.66
2014/10/30,16.29,72.26,11.42,8.09,Sandy,37.87
2014/10/31,16.24,47.23,8.4,11.88,Clay,33.64
2014/11/1,21.58,77.92,2.61,13.03,Loam,37.1
2014/11/2,29.59,36.92,14.74,15.11,Clay,35.91
2014/11/3,19.31,65.1,4.11,4.38,Loam,27.85
2014/11/4,17.56,49.86,13.72,13.14,Clay,29.69
2014/11/5,26.15,84.59,5.01,16.47,Sandy,44.37
2014/11/6,25.98,42.65,17.29,17.08,Loam,43.92
2014/11/7,21.63,36.5,16.97,18.42,Sandy,43.72
2014/11/8,28.01,48,7.37,6.39,Clay,42.91
2014/11/9,20.76,39.65,7.7,9.48,Loam,33.98
2014/11/10,22.28,87.14,17.93,8.87,Clay,33.14
2014/11/11,31.43,85.22,10.47,18,Clay,25.02
2014/11/12,27.04,31.33,14.29,5.96,Clay,27.55
2014/11/13,24.01,57.71,0.66,16.54,Sandy,42.91
2014/11/14,31.86,64.81,13.41,7.17,Clay,28.55
2014/11/15,16.17,59.86,17.54,13.97,Sandy,30.39
2014/11/16,33.75,58.49,4.8,3.43,Clay,28.41
2014/11/17,32.94,65.16,0.49,11.52,Sandy,38.88
2014/11/18,25.57,79.61,9.39,19,Clay,30.3
2014/11/19,21.35,78.97,10.51,16.5,Sandy,27.6
2014/11/20,28.22,75.27,15.37,8.81,Loam,40.59
2014/11/21,33.75,51.36,1.38,9.62,Sandy,42.88
2014/11/22,23.52,30.06,8.45,14.73,Loam,40.19
2014/11/23,31.36,63.69,4.3,12.42,Loam,34.7
2014/11/24,17.98,44.83,2.35,4.91,Clay,40.25
2014/11/25,26.19,69.43,1.59,9.6,Clay,29.62
2014/11/26,30.68,70.4,0.97,12.33,Clay,32.51
2014/11/27,16.04,59.44,3.26,6.72,Sandy,38.96
2014/11/28,22.9,71.96,4.07,11.38,Loam,42.34
2014/11/29,15.92,81.17,1.51,14.73,Sandy,29.55
2014/11/30,31.43,34.26,18.17,12.93,Sandy,42.59
2014/12/1,30.79,75.05,10.15,6.77,Clay,32.86
2014/12/2,21.72,50.96,6.3,13.94,Loam,40.16
2014/12/3,33.89,66.58,8.75,3.65,Loam,33.87
2014/12/4,19.21,79.17,10.47,18.58,Clay,42.47
2014/12/5,17.09,43.16,7.95,6.52,Loam,41.58
2014/12/6,25.94,80.03,18.32,6.21,Loam,40.53
2014/12/7,17.74,65.55,9.11,15.31,Clay,39.47
2014/12/8,25.95,59.82,9.9,18.34,Clay,33.32
2014/12/9,23.18,34.76,5.01,17.67,Loam,39.39
2014/12/10,26.36,88.38,14.57,4.29,Clay,25.44
2014/12/11,28.3,71.26,18.39,13.92,Clay,40.08
2014/12/12,24.77,32.2,13.33,11.87,Loam,37.59
2014/12/13,32.03,62.15,14.25,12.25,Clay,34.63
2014/12/14,33.62,46.93,8.69,19.86,Sandy,44.48
2014/12/15,34.31,88.8,16.99,11.26,Loam,33.94
2014/12/16,31.73,77.31,15.58,11.62,Sandy,36.91
2014/12/17,15.71,44.98,11.22,10.28,Sandy,42.46
2014/12/18,26.96,40.88,1.27,19.22,Sandy,25.14
2014/12/19,32.13,70,11.47,11.27,Loam,36.81
2014/12/20,31.11,44.51,2.98,17.34,Sandy,35.5
2014/12/21,20.81,39.28,16.66,12.59,Sandy,43.81
2014/12/22,26.12,65.25,15.18,9.66,Sandy,37.15
2014/12/23,33.83,76.95,19.55,18.13,Sandy,29.85
2014/12/24,20.41,72.14,14.59,16.43,Sandy,35.96
2014/12/25,28.5,52.24,0.51,11.09,Clay,39.1
2014/12/26,26.36,52.72,18.91,9.99,Clay,30.19
2014/12/27,15.69,75.31,18.02,13.08,Sandy,28.93
2014/12/28,17.12,34.36,14.53,14.13,Sandy,38.53
2014/12/29,21,82.8,9.02,18.49,Clay,43.54
2014/12/30,33.08,87.11,0.26,12.15,Loam,42.31
2014/12/31,25.87,30.33,5.83,5.68,Clay,44.22
2015/1/1,32.49,68.77,0.54,15.2,Loam,39.93
2015/1/2,31.99,57.07,1.61,18.48,Loam,41.21
2015/1/3,34.87,54.67,11.94,3.34,Clay,31.96
2015/1/4,32.74,32.13,18.44,13.4,Sandy,42.67
2015/1/5,23.2,50.77,7.66,18.61,Loam,34.27
2015/1/6,31.29,43.08,13.25,3.24,Sandy,33.84
2015/1/7,15.65,77.84,15.67,13.25,Loam,35.59
2015/1/8,22.95,69.49,11.58,18.38,Clay,29.28
2015/1/9,26.01,65.15,10.16,14.81,Clay,40.18
2015/1/10,32.49,56.77,11.1,14.56,Loam,40.3
2015/1/11,25.74,56.77,19.02,8.49,Sandy,38.24
2015/1/12,16.11,72.52,5.68,14.64,Loam,34.13
2015/1/13,25.88,64.8,0.02,11.85,Sandy,38.41
2015/1/14,28.79,37.53,15.5,10.46,Sandy,43.06
2015/1/15,15.65,39.32,12.55,13.21,Sandy,29.62
2015/1/16,22.34,46.26,15.47,17.01,Clay,28.85
2015/1/17,18.21,52.23,3.04,14.76,Sandy,35.25
2015/1/18,30.72,67.18,12.15,13.19,Loam,37.79
2015/1/19,27.69,42.83,7.92,7,Clay,41.19
2015/1/20,16.81,64.9,1.19,11.31,Clay,34.46
2015/1/21,26.91,42.01,8.23,11.3,Sandy,34.21
2015/1/22,21.27,38.59,15.43,7.18,Loam,38.07
2015/1/23,22.7,31.63,4,12.56,Sandy,25.34
2015/1/24,28.19,33.83,14.54,16.93,Sandy,31.43
2015/1/25,24.25,62.59,13.31,11.98,Loam,38.81
2015/1/26,31.74,52.88,18.5,11.22,Sandy,43.66
2015/1/27,16.85,53.2,19.56,5.05,Loam,38.06
2015/1/28,23.67,84.85,13.4,15.18,Sandy,37.67
2015/1/29,34.48,81.39,15.74,19.98,Loam,25.02
2015/1/30,15.88,36.9,16.55,18.99,Loam,33.31
2015/1/31,24.69,47.35,12.68,15.13,Loam,28.28
2015/2/1,28.48,75.81,7.29,12.92,Loam,43.32
2015/2/2,18.2,68.83,3.71,17.35,Loam,28.45
2015/2/3,33.76,78.05,14.57,8.09,Loam,25.18
2015/2/4,24.03,55.57,16.71,12.82,Loam,44.58
2015/2/5,33.72,59.48,12.9,6.61,Clay,28.14
2015/2/6,21.31,59.37,18.24,19.32,Sandy,34.91
2015/2/7,29.87,57.64,9.14,15.07,Sandy,31.11
2015/2/8,22.55,39.61,7.37,19.77,Sandy,36.75
2015/2/9,17.2,85.62,2.18,5.69,Loam,41.05
2015/2/10,32.34,30.5,7.69,10.69,Loam,43.17
2015/2/11,17.48,52.64,10.09,11.64,Clay,40.68
2015/2/12,25.03,77.11,9.17,7.35,Clay,33.22
2015/2/13,24.08,88.97,14.66,4.82,Sandy,37.79
2015/2/14,18.84,30.38,8.13,18.2,Sandy,34.31
2015/2/15,25.26,58.73,12.72,5.19,Sandy,26.93
2015/2/16,15.17,65.96,5.17,14.67,Loam,35.22
2015/2/17,31.07,57.22,1.19,5.39,Loam,31.91
2015/2/18,19.3,48.74,18.59,18.9,Sandy,35.28
2015/2/19,15.7,86.65,14.9,9.15,Sandy,29.17
2015/2/20,24.1,56.94,9.91,12.61,Loam,39.18
2015/2/21,20.11,88.76,6.54,5.26,Loam,30.83
2015/2/22,27.53,59.28,6.15,12.95,Clay,29.14
2015/2/23,29.14,49.54,13.8,12.03,Sandy,42.23
2015/2/24,21.41,37.08,12.47,4.15,Loam,39.04
2015/2/25,16.53,48.39,10.37,7.44,Loam,42.7
2015/2/26,27.35,37.95,1.18,19.38,Clay,30.76
2015/2/27,31.85,53.98,0.14,11.24,Clay,42.66
2015/2/28,32.46,76.85,0.54,4.61,Loam,42.74
2015/3/1,18.49,57.91,19.95,10.92,Clay,37.52
2015/3/2,34.19,88.59,16.74,12.6,Clay,40.02
2015/3/3,27.84,48.06,6.67,11.03,Clay,32.43
2015/3/4,19.38,42.76,11.53,17.85,Clay,43.5
2015/3/5,25.59,36.74,19.63,13.29,Sandy,37.97
2015/3/6,30.88,44.91,16.8,14.73,Loam,30.47
2015/3/7,28.85,59.06,6.08,18.37,Loam,32.19
2015/3/8,21.31,54.31,5.96,6.57,Clay,32.09
2015/3/9,25.28,41.62,7.5,9.13,Clay,27.69
2015/3/10,21.62,66.8,13.63,14.17,Clay,30.37
2015/3/11,23.89,64.06,13.4,13.97,Sandy,25.82
2015/3/12,17.22,71.76,17.96,15.15,Sandy,35.9
2015/3/13,29.57,32.74,6.38,5.55,Loam,43.16
2015/3/14,22.2,39.31,10.38,13.26,Loam,36.54
2015/3/15,19.87,30.33,14.93,8.38,Clay,26.73
2015/3/16,34.51,62.55,1.97,4.52,Loam,43.3
2015/3/17,33.24,57.35,7.03,7.61,Clay,44.18
2015/3/18,28.86,80.75,9.93,16.89,Clay,26.82
2015/3/19,30.99,44.96,14.53,17.64,Clay,40.1
2015/3/20,24.6,38.03,13.89,4.24,Clay,40.36
2015/3/21,23.43,83.47,3.45,7.59,Loam,31.05
2015/3/22,21.35,31.48,16.36,4.78,Loam,32.78
2015/3/23,17.76,43.23,1.53,19.77,Loam,35.76
2015/3/24,28.37,81.32,7.37,9.1,Loam,44.03
2015/3/25,19.81,74.72,6.9,16.9,Sandy,40.42
2015/3/26,25.08,75.78,11.28,17,Clay,32.94
2015/3/27,18.51,50.1,10.38,15.26,Sandy,31.34
2015/3/28,18.86,52.79,9.4,11.65,Sandy,36.75
2015/3/29,28.71,64.13,17.83,8.75,Clay,30.48
2015/3/30,16.18,74.38,15.06,11.27,Loam,29.3
2015/3/31,27.83,69.37,16.17,11.25,Sandy,25.88
2015/4/1,21.76,42.62,10.16,15.32,Loam,26.57
2015/4/2,21.62,34.57,9.65,17.05,Clay,44.71
2015/4/3,16.44,53.36,8.07,3.3,Sandy,32.84
2015/4/4,20.24,65.84,0.35,18.48,Loam,26.63
2015/4/5,22.03,67.86,2.15,15.4,Loam,27.82
2015/4/6,24.23,38.19,9.17,16.66,Clay,37.01
2015/4/7,21.67,54.02,8.03,19.08,Clay,25.09
2015/4/8,21.03,43.81,13.95,16.72,Loam,37.06
2015/4/9,33.24,36.5,11.52,17.24,Clay,40.2
2015/4/10,34.01,84.52,17.81,4.08,Loam,40.3
2015/4/11,21.46,74.86,8.25,6.78,Sandy,38.23
2015/4/12,21.37,80.81,15.6,16.23,Clay,33.05
2015/4/13,18.79,55.74,13.61,18.71,Clay,28.01
2015/4/14,20.02,46.45,7.68,18.09,Loam,31.95
2015/4/15,26.82,40.14,3.35,15.05,Loam,35.32
2015/4/16,17.44,82.73,11.83,6.76,Clay,32.33
2015/4/17,19.01,80.57,5.57,12.31,Loam,44.87
2015/4/18,20.82,70.92,11.56,16.09,Clay,38.01
2015/4/19,17.74,58.88,2.85,8.04,Clay,38.61
2015/4/20,20.09,50.65,2.04,14.75,Loam,31.07
2015/4/21,31.25,39.56,3.79,16.26,Loam,38.37
2015/4/22,26.76,77.53,11.08,12.49,Sandy,34.88
2015/4/23,32.5,69.09,12.36,18.57,Loam,37.62
2015/4/24,31.48,35.09,0.07,16.86,Clay,38.29
2015/4/25,21.05,67.16,15.38,5.99,Sandy,38.78
2015/4/26,28.62,86.63,8.08,9.07,Clay,42.48
2015/4/27,22.24,42.01,5.85,12.28,Clay,32.04
2015/4/28,19.71,59.53,17.48,9.1,Loam,33.49
2015/4/29,15.09,31.82,10.1,10.12,Loam,27.13
2015/4/30,24.09,64.99,2.54,14.39,Loam,37.66
2015/5/1,31.15,43.41,17.28,9.26,Sandy,35.75
2015/5/2,24.42,70.29,5.62,5.64,Sandy,36.73
2015/5/3,25.06,44.38,12.4,14.11,Sandy,32.33
2015/5/4,31.61,89.42,8.96,3.29,Clay,28.9
2015/5/5,24.8,62.52,6,18.4,Clay,42.53
2015/5/6,33.63,63.05,9.18,5.97,Sandy,43.61
2015/5/7,34.98,65.59,15.95,9.32,Sandy,34.02
2015/5/8,23.16,55.33,12.13,17.55,Sandy,27.93
2015/5/9,20.98,59.27,19,3.52,Sandy,31.2
2015/5/10,22.42,36.78,17.46,9,Loam,40.42
2015/5/11,18.58,80.84,19.23,9.42,Sandy,38.38
2015/5/12,19.97,37.9,19.34,8.39,Loam,38.31
2015/5/13,15.96,85.39,11.86,13.2,Sandy,25.39
2015/5/14,29.21,88.8,3.37,14.06,Loam,43
2015/5/15,34.18,56.82,18.78,9.77,Sandy,31.42
2015/5/16,20.95,49.11,18.55,14.88,Clay,34.24
2015/5/17,21.19,67.55,13.18,6.15,Clay,33.09
2015/5/18,34.14,66.64,3.78,3.7,Sandy,38.93
2015/5/19,22.77,40.06,18.75,18.83,Clay,42.07
2015/5/20,29.35,67.34,11.97,13.22,Loam,38.66
2015/5/21,33.68,74.84,5.87,14.57,Loam,33.13
2015/5/22,15.79,49.18,1.23,10.62,Sandy,25.96
2015/5/23,15.76,45.9,0.65,11.58,Loam,28.16
2015/5/24,15.41,85.9,2.85,4.86,Sandy,25.04
2015/5/25,18.1,73.4,2.39,4.91,Loam,27.31
2015/5/26,17.28,82.81,19.06,8.79,Sandy,44.04
2015/5/27,33.87,84.57,13.33,11.31,Sandy,39.88
2015/5/28,32.26,89.56,10.94,11.68,Sandy,37.88
2015/5/29,27.75,51.25,4.15,15.57,Loam,38.75
2015/5/30,34.28,62.1,3.48,10.48,Loam,27.35
2015/5/31,26.78,75.63,5.26,17.96,Clay,33.02
2015/6/1,23.86,84.43,16.09,18.98,Sandy,37.4
2015/6/2,34.34,37.24,12.04,13.21,Loam,40.4
2015/6/3,20.88,37.64,15.4,18.36,Loam,30.48
2015/6/4,16.01,82.09,2.12,16.64,Loam,26.77
2015/6/5,30.22,34.75,11.8,4.32,Loam,41.43
2015/6/6,32.61,64.83,16.22,19.77,Loam,32.04
2015/6/7,34.38,32.23,12.88,13.36,Clay,36.5
2015/6/8,15.67,39.34,17.35,16.09,Sandy,26.91
2015/6/9,34.45,45.56,10.91,5.65,Clay,43.36
2015/6/10,23.55,68.12,0.96,15.36,Loam,25.78
2015/6/11,19.24,69.57,14.19,16.17,Clay,40.66
2015/6/12,24.48,65.39,15.25,4.82,Sandy,25.93
2015/6/13,22.7,48.26,9.6,5.28,Sandy,34.7
2015/6/14,28.52,45.94,3.08,17.11,Loam,36.7
2015/6/15,19.65,51.76,9.6,11.08,Clay,28.77
2015/6/16,27.71,59.21,5.98,8.41,Sandy,27.94
2015/6/17,25.03,31.08,9.61,19.33,Sandy,42.18
2015/6/18,30.87,32.33,18.29,14.68,Loam,28.25
2015/6/19,25.23,87.76,13.56,10.23,Loam,37.43
2015/6/20,18.86,51.19,18.51,3.29,Loam,30.89
2015/6/21,20.34,86.93,0.91,18.2,Loam,29.39
2015/6/22,17.36,66.88,18.37,10.18,Loam,25.49
2015/6/23,22.03,89.71,11.12,6.17,Sandy,36.63
2015/6/24,25.73,36.41,5.21,10.14,Loam,34.25
2015/6/25,20.68,74.31,10.93,5.5,Sandy,43
2015/6/26,29.86,65.05,4.53,7.03,Sandy,37.73
2015/6/27,23.2,33.54,2.97,7.71,Clay,26.88
2015/6/28,25.25,52.2,3.58,8.85,Sandy,35.85
2015/6/29,30.17,75.25,9.79,13.16,Clay,40.98
2015/6/30,31.14,81.44,3.36,11.18,Clay,44.59
2015/7/1,29.73,73.46,13.48,7.27,Loam,43.88
2015/7/2,23.97,37.85,2.86,7.46,Loam,42.01
2015/7/3,16.15,83.73,7.95,18.6,Clay,41.71
2015/7/4,28.62,34.12,6.99,10.97,Loam,44.79
2015/7/5,21.07,55.28,11.78,9.16,Sandy,33.55
2015/7/6,18.33,56.64,4.52,16.39,Sandy,34.46
2015/7/7,24.98,78.76,18.6,9.83,Sandy,41.59
2015/7/8,21.58,87.3,18.03,19.21,Clay,41.18
2015/7/9,27.29,50.61,12.84,15.73,Clay,32.41
2015/7/10,30.03,54.6,7.58,16.84,Loam,43.18
2015/7/11,25.06,45.77,3.09,18.72,Sandy,35.35
2015/7/12,15.21,85.67,16.67,4.59,Sandy,34.32
2015/7/13,22.19,79.69,16.81,11.02,Clay,44.11
2015/7/14,24.16,39.72,7.35,7.5,Sandy,44.29
2015/7/15,32.73,68.14,19.98,18.12,Clay,43.3
2015/7/16,17.18,56.14,2.96,8.82,Clay,32.78
2015/7/17,27.96,74.14,3.48,12.79,Loam,41.25
2015/7/18,15.18,65.46,16.05,9.53,Sandy,42.51
2015/7/19,29.01,39.58,18.9,14.65,Sandy,36.1
2015/7/20,30.29,38.17,18.99,12.41,Clay,32.39
2015/7/21,15.47,39.88,1.73,13.01,Clay,35.23
2015/7/22,17.25,54.54,8.65,13.45,Sandy,37.67
2015/7/23,18.42,66.83,7.14,14.62,Clay,39.59
2015/7/24,30.31,82.14,17.68,14.65,Sandy,40.5
2015/7/25,19.77,61.08,3.97,15.69,Clay,29.26
2015/7/26,24.38,32.8,12.23,3.55,Sandy,32.52
2015/7/27,17.19,32.53,0.17,3.31,Loam,35.57
2015/7/28,26.79,36.2,8.34,3.86,Loam,40.22
2015/7/29,29.73,35.86,15.76,17.73,Clay,42.64
2015/7/30,27.81,89.67,18.27,17.82,Clay,30.01
2015/7/31,23.01,50.26,8.41,6,Loam,31.22
2015/8/1,26.01,69.98,15.75,19.19,Sandy,32.71
2015/8/2,31.03,43.6,13.14,17.82,Clay,34.31
2015/8/3,23.56,35.62,2.27,13.44,Loam,29.29
2015/8/4,27.78,33.77,12.37,17.15,Sandy,29.65
2015/8/5,16.3,63.44,10.26,11.24,Clay,27.84
2015/8/6,15.83,87.38,0.47,10.49,Sandy,32.24
2015/8/7,19.74,61.05,0.39,7.57,Clay,37.57
2015/8/8,16.06,72.71,19.13,18.57,Loam,43.04
2015/8/9,32.04,53.75,6.24,18.54,Clay,38.21
2015/8/10,15.09,66.22,18.12,7.3,Clay,43.97
2015/8/11,24.94,68.02,16.37,16.37,Loam,33.74
2015/8/12,27.86,65.35,15.83,4.39,Loam,27.75
2015/8/13,29.72,51.78,3.38,5.58,Sandy,38.25
2015/8/14,16.42,78.44,12.57,15.68,Sandy,40.92
2015/8/15,28.22,45.08,15.15,4.69,Loam,40.07
2015/8/16,25.84,43.46,15.59,15.19,Loam,42.83
2015/8/17,22.6,75.38,12.49,19.53,Loam,44.27
2015/8/18,17.07,41.18,2,3.86,Clay,28.32
2015/8/19,19.82,71.22,9.37,8.11,Loam,40.62
2015/8/20,27.19,41.45,7.73,11.28,Loam,34.88
2015/8/21,21.82,60.33,2.97,7.2,Sandy,43.73
2015/8/22,15.14,74.07,10.17,5.56,Loam,33.84
2015/8/23,21.78,62.37,19.78,7.26,Loam,28.76
2015/8/24,29.78,33.9,1.68,13.86,Clay,30.96
2015/8/25,29.7,71.11,13.31,19.16,Loam,35.24
2015/8/26,21.11,30.37,3.96,8.6,Loam,35.72
2015/8/27,29.11,84.79,19.25,4.13,Clay,42.04
2015/8/28,30.84,68.8,19.13,10.9,Sandy,31.07
2015/8/29,34.8,41.92,9.09,11.28,Loam,40.45
2015/8/30,29.28,30.7,11.59,12.57,Loam,30.28
2015/8/31,27.48,65.88,6.36,17.01,Clay,27.24
2015/9/1,25.38,49.79,9.89,10.71,Sandy,33.87
2015/9/2,23.72,63.84,3.6,11.51,Sandy,28.6
2015/9/3,20.87,88.58,10.52,13.24,Clay,38.67
2015/9/4,18.53,64.02,11.76,6.52,Sandy,35.8
2015/9/5,29.82,42.95,4.56,4.41,Sandy,44.84
2015/9/6,27.41,41.11,1.73,11.41,Clay,37.58
2015/9/7,19.61,70.54,9.53,3.86,Sandy,44.12
2015/9/8,32.17,52.13,8.18,7.37,Clay,26.11
2015/9/9,30.49,87.1,4.85,12.47,Clay,42.53
2015/9/10,33.15,63.34,6.55,5.56,Loam,34.03
2015/9/11,33.95,31.82,19.94,6.27,Sandy,29.26
2015/9/12,32.52,41.79,3.3,16.95,Sandy,42.03
2015/9/13,29.91,81.12,1.48,14.25,Clay,37.61
2015/9/14,24.74,89.77,3.58,18.71,Loam,32.53
2015/9/15,21.77,83.95,1.95,16.51,Sandy,28.69
2015/9/16,33.02,50,19.67,17.98,Clay,41.28
2015/9/17,26.83,53.24,3.85,10.09,Clay,35.37
2015/9/18,29.2,32.61,2.78,3.13,Loam,33.49
2015/9/19,20.73,34.83,1.61,9,Clay,34.27
2015/9/20,22.78,71.66,6.64,9.89,Loam,41.62
2015/9/21,31.65,39.81,12.44,18.13,Loam,25.99
2015/9/22,31.09,69.41,12.98,4.43,Clay,41.46
2015/9/23,29.96,69.6,12.36,13.03,Sandy,39.55
2015/9/24,18.32,84.16,7.78,11.74,Sandy,34.11
2015/9/25,33.28,47.6,9.67,15.54,Clay,30.82
2015/9/26,21.6,48.5,13.11,17.64,Clay,27.31
2015/9/27,15.06,62.12,4.63,3.67,Loam,44.77
2015/9/28,23.21,47.08,16.46,16.24,Sandy,38.85
2015/9/29,20.75,44.37,12.07,10.87,Clay,37.18
2015/9/30,27.08,32.8,0.31,17.3,Sandy,28.75
2015/10/1,33.56,88.02,12.93,9.23,Sandy,38.52
2015/10/2,30.26,49.57,9.39,6.73,Clay,32.35
2015/10/3,16.51,62.6,2.95,4.7,Loam,29.3
2015/10/4,21.68,67.19,2.98,8.93,Sandy,25.46
2015/10/5,31.09,55.76,15.62,9.52,Sandy,39.8
2015/10/6,31.47,63.66,10.66,4.79,Sandy,42.46
2015/10/7,23.53,39.42,12.09,12.87,Loam,37.71
2015/10/8,28.42,57.94,6.8,18.3,Clay,42.81
2015/10/9,15.67,38.91,5.78,6.52,Clay,43.37
2015/10/10,17.35,47.33,16.38,8.69,Sandy,26.72
2015/10/11,19.56,72.67,13.18,17.84,Clay,42.64
2015/10/12,24.86,38.93,16.78,3.54,Loam,28.67
2015/10/13,27.48,41.87,18.27,3.13,Clay,33.77
2015/10/14,19.89,53.49,5.32,5.81,Loam,40.59
2015/10/15,24.34,66.64,1.81,14.12,Sandy,43.46
2015/10/16,25.94,80.99,18.83,5.78,Clay,28.71
2015/10/17,22.58,87.03,9.71,18.74,Sandy,33.67
2015/10/18,17.23,65.74,15.12,10.26,Clay,27.9
2015/10/19,22,46,0.18,16.41,Loam,26.83
2015/10/20,26.92,40.98,2.37,5.31,Loam,41.98
2015/10/21,26.19,36.76,14.97,19.18,Sandy,39.18
2015/10/22,31.39,61.84,3.2,13.62,Loam,25.5
2015/10/23,21.95,88.89,19.86,16.58,Sandy,34.84
2015/10/24,34.6,38.33,0.86,12.44,Clay,36.76
2015/10/25,22.29,67.96,6.37,4.02,Sandy,33.7
2015/10/26,23.61,39.03,8.58,7.06,Sandy,44.97
2015/10/27,17.12,82.43,14.96,18.49,Clay,36.59
2015/10/28,20.69,82.79,4.25,16.89,Loam,41.46
2015/10/29,21.74,83.51,16.06,6.42,Sandy,27.9
2015/10/30,26.69,54.43,16.38,18.62,Sandy,30.82
2015/10/31,29.67,36.02,15.62,7.91,Clay,37.98
2015/11/1,26.48,41.84,10.5,11.03,Clay,42.23
